group_key,suggested_review,status,candidate_count
doom,manual_year_review,needs_review,4
finalfantasyxx2hdremaster,preserve_edition_review,needs_review,3
fallout3gameoftheyearedition,preserve_edition_review,merged,3
nuclearthrone,merge_candidate,merged,3
flatout,manual_year_review,needs_review,3
zeroescapezerotimedilemma,merge_candidate,merged,3
steamworlddig,merge_candidate,merged,3
plantsvszombiesgotyedition,preserve_edition_review,needs_review,3
falloutnewvegas,merge_candidate,merged,3
psychonauts,manual_year_review,needs_review,3
darksoulsiii,merge_candidate,merged,3
tomclancyssplintercellblacklist,merge_candidate,merged,3
tombraideranniversary,preserve_edition_review,merged,3
quake,manual_year_review,needs_review,3
quakeii,manual_year_review,needs_review,3
quakeiiiarena,manual_year_review,needs_review,3
grandtheftauto,manual_year_review,needs_review,3
grandtheftauto2,manual_year_review,needs_review,3
devilmaycry5,merge_candidate,merged,3
grandtheftautoiii,manual_year_review,needs_review,3
returntocastlewolfenstein,manual_year_review,needs_review,3
grandtheftautosanandreas,manual_year_review,needs_review,3
grandtheftautov,manual_year_review,needs_review,3
grandtheftautovicecity,manual_year_review,needs_review,3
terraria,merge_candidate,merged,3
mirrorsedge,merge_candidate,merged,3
supermeatboy,merge_candidate,merged,3
metalgearsolidvthephantompain,merge_candidate,merged,3
hexenbeyondheretic,manual_year_review,needs_review,3
hitman2silentassassin,manual_year_review,needs_review,3
hitmanbloodmoney,manual_year_review,needs_review,3
hitmancontracts,manual_year_review,needs_review,3
doometernal,merge_candidate,merged,3
stardewvalley,merge_candidate,merged,3
farcry3,merge_candidate,merged,3
danganronpa2goodbyedespair,manual_year_review,needs_review,3
danganronpatriggerhappyhavoc,manual_year_review,needs_review,3
nomanssky,merge_candidate,merged,3
jetsetradio,manual_year_review,needs_review,3
sidmeierspirates,manual_year_review,needs_review,3
thesecretofmonkeyislandspecialedition,preserve_edition_review,merged,3
deusexhumanrevolutiondirectorscut,preserve_edition_review,merged,3
darksoulsremastered,preserve_edition_review,merged,3
sonicadventure2,manual_year_review,needs_review,3
thewolfamongus,merge_candidate,merged,3
hotlinemiami2wrongnumber,merge_candidate,merged,3
theelderscrollsvskyrim,merge_candidate,merged,3
doom3,manual_year_review,needs_review,3
steamworldheist,manual_year_review,needs_review,3
steinsgate,manual_year_review,needs_review,3
doomii,manual_year_review,needs_review,3
syberia,manual_year_review,needs_review,3
humanresourcemachine,merge_candidate,merged,3
freedomplanet,merge_candidate,merged,3
dragonquestiiihd2dremake,preserve_edition_review,needs_review,3
thomaswasalone,merge_candidate,merged,3
gears5,merge_candidate,merged,3
thelegendofheroestrailsinthesky,manual_year_review,needs_review,3
earthbound,manual_year_review,needs_review,3
thebindingofisaacrebirth,merge_candidate,merged,3
xcomenemyunknown,merge_candidate,merged,3
manhunt,manual_year_review,needs_review,3
maxpayne,manual_year_review,needs_review,3
maxpayne2thefallofmaxpayne,manual_year_review,needs_review,3
tombraiderivthelastrevelation,manual_year_review,needs_review,3
tombraiderlegend,manual_year_review,needs_review,3
tombraidervchronicles,manual_year_review,needs_review,3
nidhogg,merge_candidate,merged,3
deadcells,merge_candidate,merged,3
metalslug3,manual_year_review,needs_review,3
thewitcher2assassinsofkingsenhancededition,preserve_edition_review,merged,3
towerfallascension,manual_year_review,needs_review,3
