game_id,source,source_title,confidence_score,matched_by
destroy_all_humans,vgsales,Destroy All Humans!,100,exact_title_platform_year
dj_hero,metacritic,DJ Hero,100,exact_title_platform_year
deadliest_catch_sea_of_chaos,metacritic,Deadliest Catch: Sea of Chaos,100,exact_title_platform_year
destiny_the_taken_king,vgsales,Destiny: The Taken King,100,exact_title_platform_year
discovery_kids_pony_paradise,vgsales,Discovery Kids: Pony Paradise,100,exact_title_platform_year
dj_hero,metacritic,DJ Hero,100,exact_title_platform_year
dead_or_alive_paradise,metacritic,Dead or Alive Paradise,100,exact_title_platform_year
deadliest_catch_sea_of_chaos,vgsales,Deadliest Catch: Sea of Chaos,100,exact_title_platform_year
def_jam_vendetta,vgsales,Def Jam Vendetta,100,exact_title_platform_year
destiny_of_spirits,metacritic,Destiny of Spirits,100,exact_title_platform_year
dies_irae_amantes_amentes,vgsales,Dies Irae: Amantes Amentes,100,exact_title_platform_year
discovery_kids_parrot_pals,vgsales,Discovery Kids: Parrot Pals,100,exact_title_platform_year
disney_s_chicken_little,vgsales,Disney's Chicken Little,100,exact_title_platform_year
dj_hero,metacritic,DJ Hero,100,exact_title_platform_year
dead_island_riptide,vgsales,Dead Island: Riptide,100,exact_title_platform_year
dead_or_alive_dimensions,vgsales,Dead or Alive: Dimensions,100,exact_title_platform_year
dead_rising_3_apocalypse_edition,metacritic,Dead Rising 3: Apocalypse Edition,100,exact_title_platform_year
deadliest_catch_sea_of_chaos,vgsales,Deadliest Catch: Sea of Chaos,100,exact_title_platform_year
deathsmiles,vgsales,DeathSmiles,100,exact_title_platform_year
def_jam_rapstar,vgsales,Def Jam Rapstar,100,exact_title_platform_year
dengeki_gakuen_rpg_cross_of_venus,vgsales,Dengeki Gakuen RPG: Cross of Venus,100,exact_title_platform_year
destiny_links,vgsales,Destiny Links,100,exact_title_platform_year
dg2_defense_grid_2,metacritic,DG2: Defense Grid 2,100,exact_title_platform_year
die_hard_vendetta,vgsales,Die Hard: Vendetta,100,exact_title_platform_year
dino_stalker,metacritic,Dino Stalker,100,exact_title_platform_year
discovery_kids_kitten_corner,vgsales,Discovery Kids: Kitten Corner,100,exact_title_platform_year
dishonored_dunwall_city_trials,metacritic,Dishonored: Dunwall City Trials,100,exact_title_platform_year
disney_s_chicken_little,vgsales,Disney's Chicken Little,100,exact_title_platform_year
disney_s_tarzan_untamed,metacritic,Disney's Tarzan Untamed,100,exact_title_platform_year
divinity_original_sin,metacritic,Divinity: Original Sin,100,exact_title_platform_year
dawn_of_heroes,vgsales,Dawn of Heroes,100,exact_title_platform_year
dead_island_riptide,metacritic,Dead Island: Riptide,100,exact_title_platform_year
dead_or_alive_6,metacritic,Dead or Alive 6,100,exact_title_platform_year
dead_or_alive_dimensions,metacritic,Dead or Alive Dimensions,100,exact_title_platform_year
dead_rising_2_case_zero,metacritic,Dead Rising 2: Case Zero,100,exact_title_platform_year
dead_rising_3,vgsales,Dead Rising 3,100,exact_title_platform_year
dead_star,metacritic,Dead Star,100,exact_title_platform_year
deadliest_catch_sea_of_chaos,vgsales,Deadliest Catch: Sea of Chaos,100,exact_title_platform_year
dear_esther,metacritic,Dear Esther,100,exact_title_platform_year
deathsmiles,metacritic,Deathsmiles,100,exact_title_platform_year
deception_iv_blood_ties,vgsales,Deception IV: Blood Ties,100,exact_title_platform_year
def_jam_rapstar,vgsales,Def Jam Rapstar,100,exact_title_platform_year
dementium_ii,vgsales,Dementium II,100,exact_title_platform_year
dengeki_bunko_fighting_climax,vgsales,Dengeki Bunko Fighting Climax,100,exact_title_platform_year
desert_strike_advance,vgsales,Desert Strike Advance,100,exact_title_platform_year
destiny_connect_tick_tock_travelers,metacritic,Destiny Connect: Tick-Tock Travelers,100,exact_title_platform_year
detuned,metacritic,.detuned,100,exact_title_platform_year
dexter_s_laboratory_deesaster_strikes,vgsales,Dexter's Laboratory Deesaster Strikes,100,exact_title_platform_year
diablo_ii,metacritic,Diablo II,100,exact_title_platform_year
die_hard_vendetta,metacritic,Die Hard: Vendetta,100,exact_title_platform_year
digimon_world_next_order,vgsales,Digimon World: Next Order,100,exact_title_platform_year
dino_master_dig_discover_duel,vgsales,Dino Master: Dig Discover Duel,100,exact_title_platform_year
dirt_rally,metacritic,DiRT Rally,100,exact_title_platform_year
discovery_kids_dolphin_discovery,vgsales,Discovery Kids: Dolphin Discovery,100,exact_title_platform_year
disgaea_3_absence_of_justice,metacritic,Disgaea 3: Absence of Justice,100,exact_title_platform_year
dishonored_definitive_edition,metacritic,Dishonored: Definitive Edition,100,exact_title_platform_year
disney_infinity,metacritic,Disney Infinity,100,exact_title_platform_year
disney_s_brother_bear,vgsales,Disney's Brother Bear,100,exact_title_platform_year
disney_s_magical_quest_2_starring_mickey_and_minnie,metacritic,Disney's Magical Quest 2 Starring Mickey and Minnie,100,exact_title_platform_year
disney_s_tarzan_return_to_the_jungle,metacritic,Disney's Tarzan: Return to the Jungle,100,exact_title_platform_year
disney_sing_it_party_hits,vgsales,Disney Sing It: Party Hits,100,exact_title_platform_year
divinity_original_sin,vgsales,Divinity: Original Sin,100,exact_title_platform_year
data_east_arcade_classics,vgsales,Data East Arcade Classics,100,exact_title_platform_year
david_beckham_soccer,metacritic,David Beckham Soccer,100,exact_title_platform_year
de_mambo,metacritic,De Mambo,100,exact_title_platform_year
dead_island,vgsales,Dead Island,100,exact_title_platform_year
dead_nation_apocalypse_edition,metacritic,Dead Nation: Apocalypse Edition,100,exact_title_platform_year
dead_or_alive_5_ultimate,metacritic,Dead or Alive 5 Ultimate,100,exact_title_platform_year
dark_souls_ii,metacritic,Dark Souls II,100,exact_title_platform_year
dead_or_alive_dimensions,metacritic,Dead or Alive: Dimensions,100,exact_title_platform_year
dead_or_alive_xtreme_3_venus,vgsales,Dead or Alive Xtreme 3: Venus,100,exact_title_platform_year
dead_rising_2_case_west,metacritic,Dead Rising 2: Case West,100,exact_title_platform_year
dead_rising_3,metacritic,Dead Rising 3,100,exact_title_platform_year
dark_souls_ii_crown_of_the_old_iron_king,metacritic,Dark Souls II: Crown of the Old Iron King,100,exact_title_platform_year
dead_rising_4,metacritic,Dead Rising 4,100,exact_title_platform_year
dead_star,metacritic,Dead Star,100,exact_title_platform_year
