game_id,title,data_confidence_score,popularity_score
fnf_disruption_test,FNF - Disruption Test,20,17.705
fort_defense_fort_defense_north_menace_dayd_tower_rush,"Fort Defense, Fort Defense North Menace & DayD Tower Rush",10,17.69
four_bombs,FOUR BOMBS,20,17.705
freefall_racers,Freefall Racers,20,17.705
friday_night_funkin_ps4_edition,friday night funkin ps4 edition,20,17.705
full_house_poker,Full House Poker,20,17.705
funfair_party_games,Funfair Party Games,20,17.705
g_g_series_vector,G.G Series VECTOR,20,17.705
g_g_series_vertex,G.G Series VERTEX,20,17.705
g_g_series_wonderland,G.G Series WONDERLAND,20,17.705
gabrielle_s_ghostly_groove_monster_mix,Gabrielle's Ghostly Groove: Monster Mix,20,17.705
gaia_s_moon,Gaia's Moon,20,17.705
galaxian_3,Galaxian 3,25,17.7125
game_watch_ball,Game & Watch: Ball,20,17.705
game_watch_gallery_3,Game & Watch Gallery 3,20,17.705
gaplus,GAPLUS,20,17.705
garfield_fun_fest,Garfield Fun Fest,10,17.69
gemology,Gemology,20,17.705
george_of_the_jungle_and_the_search_for_the_secret_stones,George of the Jungle and the Search for the Secret Stones,10,17.69
ginsei_shogi_kyoutendo_toufuu_raijin,Ginsei Shogi: Kyoutendo Toufuu Raijin,20,17.705
girls_fashion_shoot,Girls' Fashion Shoot,20,17.705
gley_lancer,Gley Lancer,20,17.705
glory_days_tactical_defense,Glory Days - Tactical Defense,20,17.705
glory_of_generals_the_pacific,GLORY OF GENERALS THE PACIFIC,20,17.705
go_fetch_2,Go Fetch! 2,20,17.705
go_go_kokopolo_3d,Go! Go! Kokopolo 3D,20,17.705
go_series_captain_sub,GO Series: Captain Sub,20,17.705
go_series_undead_storm,GO Series: Undead Storm,20,17.705
deep_fritz_8,Deep Fritz 8,25,17.7125
god_of_war_laufey,God of War Laufey,20,17.705
goldfish_warning,Goldfish Warning!,25,17.7125
gothic_masquerade,Gothic Masquerade,20,17.705
gravity,Gravity+,20,17.705
greco_kara_no_chousenjou_keisan_no_yakata_to_obake_tachi_kake_san,Greco Kara no Chousenjou! Keisan no Yakata to Obake-Tachi: Kake-San,20,17.705
grinsia,Grinsia,20,17.705
groove_heaven,Groove Heaven,20,17.705
guide_the_ghost,GUIDE THE GHOST,20,17.705
gundam_try_age_sp,Gundam Try Age SP,25,17.9902
pokedex_3d,Pokédex 3D,20,17.705
happy_cooking,Happy Cooking,25,17.7125
harley_pasternak_s_hollywood_workout,Harley Pasternak's Hollywood Workout,20,17.705
haruka_beyond_the_stream_of_time,Haruka: Beyond the Stream of Time,25,17.7125
harvest_moon_ds_cute,Harvest Moon DS Cute,10,17.69
harvest_moon_ds_the_tale_of_two_towns,Harvest Moon DS: The Tale of Two Towns,20,17.705
cloudy_with_a_chance_of_meatballs_2,Cloudy With a Chance of Meatballs 2,20,17.705
heavy_armor_brigade,Heavy Armor Brigade,25,17.7125
hello_charlotte_heaven_s_gate,Hello Charlotte: Heaven's Gate,20,17.705
hello_kitty_picnic_with_sanrio_friends,Hello Kitty Picnic with Sanrio Friends,20,17.705
heron_steam_machine,Heron: Steam Machine,20,17.705
heyawake_by_nikoli,Heyawake by Nikoli,20,17.705
hideaways_foggy_valley,Hideaways: Foggy Valley,20,17.705
hidden_mysteries_buckingham_palace,Hidden Mysteries: Buckingham Palace,25,17.7125
high_heat_major_league_baseball,High Heat Major League Baseball,25,17.7125
disney_magic_castle_my_happy_life,Disney Magic Castle: My Happy Life,25,17.7125
hot_shots_shorties_red_pack,Hot Shots Shorties Red Pack,10,17.69
hot_shots_shorties_yellow_pack,Hot Shots Shorties Yellow Pack,10,17.69
hotel_transylvania,Hotel Transylvania,20,17.705
house_m_d_episode_1_globetrotting,House M.D. - Episode 1: Globetrotting,20,17.705
house_m_d_episode_3_skull_and_bones,House M.D. - Episode 3: Skull and Bones,20,17.705
civilization_3_conquests,Civilization 3: Conquests,25,19.4445
i_am_in_the_movie,I am in the Movie,20,17.705
i_spy_game_pack,I SPY Game Pack,20,17.705
icarly_groovy_foodie,iCarly: Groovy Foodie!,20,17.705
ill,ILL,20,17.705
imagine_figure_skater,Imagine: Figure Skater,20,17.705
imagine_makeup_artist,Imagine: Makeup Artist,20,17.705
gradius_iii,Gradius III,20,17.705
defendin_de_penguin,Defendin' De Penguin,25,17.7125
interlude,Interlude,25,17.7125
internal_invasion,Internal Invasion,20,17.705
iron_combat_war_in_the_air,Iron Combat: War in the Air,20,17.705
masque_video_slots,Masque Video Slots,25,17.7125
ivy_the_kiwi_mini,Ivy the Kiwi? Mini,20,17.705
jack_and_jane_jungle_escape,JACK AND JANE JUNGLE ESCAPE,10,17.69
jam_city_rollergirls,Jam City Rollergirls,20,17.705
japanese_rail_sim_3d_5_types_of_trains,Japanese Rail Sim 3D 5 types of trains,10,17.69
japanese_rail_sim_3d_journey_in_suburbs_1,Japanese Rail Sim 3D Journey in Suburbs #1,20,17.705
japanese_rail_sim_3d_journey_in_suburbs_1_vol_3,Japanese Rail Sim 3D Journey in suburbs #1 Vol.3,20,17.705
japanese_rail_sim_3d_journey_in_suburbs_1_vol_4,Japanese Rail Sim 3D Journey in suburbs #1 Vol.4,20,17.705
japanese_rail_sim_3d_journey_in_suburbs_2,Japanese Rail Sim 3D Journey in suburbs #2,20,17.705
japanese_rail_sim_3d_journey_to_kyoto,Japanese Rail Sim 3D Journey to Kyoto,20,17.705
jett_tailfin,Jett Tailfin,20,17.705
jewel_link_chronicles_legend_of_athena,Jewel Link Chronicles: Legend of Athena,25,17.9902
jewel_link_chronicles_mountains_of_madness,Jewel Link Chronicles: Mountains of Madness,20,17.705
jewel_master_cradle_of_egypt_2_3d,Jewel Master: Cradle Of Egypt 2 3D,20,17.705
jewel_master_cradle_of_rome_2,Jewel Master: Cradle Of Rome 2,20,17.705
jewel_match_3,Jewel Match 3,20,17.705
jewel_quest_4_heritage,Jewel Quest 4 Heritage,20,17.705
jewel_quest_5_the_sleepless_star,Jewel Quest 5 - The Sleepless Star,20,17.705
fashion_cents,Fashion Cents,25,17.7125
johnny_s_payday_panic,JOHNNY'S PAYDAY PANIC,20,17.705
jojo_s_fashion_show,Jojo's Fashion Show,20,17.705
just_jam,Just Jam,20,17.705
karaoke,Karaoke,20,17.705
karous_the_beast_of_re_eden,KAROUS - THE BEAST OF RE EDEN,20,17.705
kid_icarus,Kid Icarus,20,17.705
hornby_virtual_railway_2,Hornby Virtual Railway 2,25,17.7125
kids_learn_bundle_math_spelling_and_grammar,Kids Learn Bundle: Math / Spelling and Grammar,20,17.705
killca_drive,Killca Drive,10,17.69
kinect_me,Kinect Me,20,17.705
kinect_sparkler,Kinect Sparkler,20,17.705
